mode,comparison,left_stage,right_stage,left_edit_path,right_edit_path,edit_ssim,edit_psnr,edit_mse,edit_l2,arcface_edit_cosine_similarity
baseline_control,reconstruction_effect,clean_edit,vae_reconstruction,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image4_red_scarf__rolling_iter100_scale1/clean_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image4_red_scarf__rolling_iter100_scale1/vae_reconstruction_edit.png,0.9491342902183533,34.69888240291725,0.0003389313642401248,0.01841008865378233,0.9840707182884216
baseline_control,neutral_geometry_resampling_on_original,clean_edit,neutral_geometry_on_original,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image4_red_scarf__rolling_iter100_scale1/clean_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image4_red_scarf__rolling_iter100_scale1/neutral_geometry_on_original_edit.png,0.9875834584236145,43.821428013413694,4.148176230955869e-05,0.006440633688509128,0.9955769777297974
baseline_control,neutral_geometry_resampling_after_reconstruction,vae_reconstruction,neutral_geometry_on_reconstruction,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image4_red_scarf__rolling_iter100_scale1/vae_reconstruction_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image4_red_scarf__rolling_iter100_scale1/neutral_geometry_on_reconstruction_edit.png,0.999630868434906,60.28977452895511,9.354542385153763e-07,0.0009671888329149466,0.9999345541000366
geometry_only_original,reconstruction_effect,clean_edit,vae_reconstruction,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image4_red_scarf__rolling_iter100_scale1/clean_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image4_red_scarf__rolling_iter100_scale1/geometry_only_original/vae_reconstruction_edit.png,0.9491342902183533,34.69888240291725,0.0003389313642401248,0.01841008865378233,0.9840707182884216
geometry_only_original,delta_increment_after_reconstruction,vae_reconstruction,learned_delta_only,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image4_red_scarf__rolling_iter100_scale1/geometry_only_original/vae_reconstruction_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image4_red_scarf__rolling_iter100_scale1/geometry_only_original/learned_delta_only_edit.png,1.0,inf,0.0,0.0,1.0000001192092896
geometry_only_original,geometry_on_original_effect,clean_edit,learned_geometry_on_original,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image4_red_scarf__rolling_iter100_scale1/clean_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image4_red_scarf__rolling_iter100_scale1/geometry_only_original/learned_geometry_on_original_edit.png,0.8963958621025085,26.90235936743564,0.002040629042312503,0.04517332224125765,0.9143370985984802
geometry_only_original,geometry_on_reconstruction_effect,vae_reconstruction,learned_geometry_on_reconstruction,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image4_red_scarf__rolling_iter100_scale1/geometry_only_original/vae_reconstruction_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image4_red_scarf__rolling_iter100_scale1/geometry_only_original/learned_geometry_on_reconstruction_edit.png,0.9291415214538574,27.111041739129806,0.001944893505424261,0.04410094676335488,0.9282397627830505
geometry_only_original,geometry_increment_after_delta,learned_delta_only,learned_combined,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image4_red_scarf__rolling_iter100_scale1/geometry_only_original/learned_delta_only_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image4_red_scarf__rolling_iter100_scale1/geometry_only_original/learned_combined_edit.png,0.9291415214538574,27.111041739129806,0.001944893505424261,0.04410094676335488,0.9282397627830505
geometry_only_original,order_effect,learned_combined,geometry_then_vae_reconstruction,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image4_red_scarf__rolling_iter100_scale1/geometry_only_original/learned_combined_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image4_red_scarf__rolling_iter100_scale1/geometry_only_original/geometry_then_vae_reconstruction_edit.png,0.9358206391334534,34.09068452411882,0.00038988052983768284,0.019745392623031908,0.9475069046020508
geometry_only_reconstruction,reconstruction_effect,clean_edit,vae_reconstruction,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image4_red_scarf__rolling_iter100_scale1/clean_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image4_red_scarf__rolling_iter100_scale1/geometry_only_reconstruction/vae_reconstruction_edit.png,0.9491342902183533,34.69888240291725,0.0003389313642401248,0.01841008865378233,0.9840707182884216
